x y z
0.12 -0.33 0.70
-0.01 -0.11 1.05
0.04 -0.06 0.97
-0.14 -0.04 1.12
-0.07 -0.13 1.79
0.04 -0.24 1.13
0.07 -0.05 1.04
0.02 -0.05 1.01
0.02 -0.05 1.02
0.02 -0.05 1.02
0.02 -0.05 1.02
0.02 -0.05 1.02
0.02 -0.05 1.02
0.02 -0.05 1.02
0.02 -0.05 1.02
0.02 -0.05 1.02
0.03 -0.07 1.01
0.09 0.26 0.98
0.07 -0.01 1.06
0.05 0.31 0.95
0.14 0.25 1.01
0.10 0.26 0.97
0.07 0.27 0.98
0.09 0.32 0.98
0.23 0.30 0.77
0.16 0.41 1.02
0.17 0.44 0.87
0.16 0.42 0.88
0.15 0.40 0.91
0.02 0.36 0.94
-0.01 0.29 0.91
0.02 0.31 1.05
0.01 0.25 0.99
0.03 0.22 0.89
0.04 0.25 1.00
0.01 0.23 0.99
0.04 0.24 1.02
0.03 0.23 1.02
-0.04 0.24 0.98
-0.20 0.19 1.09
0.01 0.31 0.96
0.05 0.32 0.92
0.04 0.27 0.95
0.11 0.35 1.06
0.04 0.41 0.90
0.05 0.39 0.86
0.13 0.63 0.88
0.05 0.54 0.77
-0.00 0.55 0.82
0.01 0.56 0.82
0.04 0.56 0.88
0.07 0.54 0.86
0.11 0.50 0.81
0.27 0.64 1.21
0.12 0.49 0.73
0.08 0.55 0.74
0.12 0.52 0.74
0.16 0.57 0.83
0.11 0.49 0.74
0.15 0.53 0.92
0.06 0.42 0.85
0.08 0.57 0.78
0.01 0.48 0.54
0.04 0.48 0.80
0.12 0.53 0.68
0.05 0.44 0.76
0.07 0.45 0.93
0.01 0.48 0.92
0.06 0.49 0.79
-0.09 0.45 1.02
-0.18 0.40 0.89
-0.16 0.44 0.93
-0.16 0.38 0.79
-0.09 0.35 0.82
-0.20 0.40 0.93
-0.10 0.38 0.86
-0.20 0.39 0.91
-1.57 -0.11 1.14
-0.21 0.44 0.83
-0.03 0.65 1.55
-0.18 0.39 0.84
-0.22 0.39 0.91
-0.20 0.35 0.88
-0.18 0.33 1.06
0.03 0.64 0.87
-0.01 0.65 0.71
-0.01 0.64 0.69
-0.07 0.73 0.77
-0.13 0.67 0.79
-0.14 0.64 0.80
-0.15 0.55 0.83
-0.12 0.57 0.80
-0.14 0.51 0.89
-0.15 0.51 0.89
-0.17 0.49 0.86
-0.16 0.50 0.82
-0.24 0.50 0.96
-0.21 0.43 0.86
-0.24 0.40 0.95
-0.24 0.37 0.89
-0.26 0.38 1.02
-0.54 -0.09 0.89
-0.47 0.27 0.99
-0.39 0.29 0.82
-0.30 0.35 0.97
-0.34 0.30 0.87
-0.43 0.24 0.79
-0.32 0.26 1.16
-0.40 0.29 -0.17
-0.38 0.33 0.86
-0.36 0.45 0.93
-0.29 0.30 1.21
-0.35 0.24 0.90
-0.36 0.42 0.89
-0.35 0.29 0.88
-0.42 0.35 0.96
-0.32 0.25 0.97
-0.54 0.93 3.91
-0.36 0.24 0.98
-0.34 0.29 0.93
-0.27 0.35 0.92
-0.33 0.35 0.86
-0.21 0.27 0.91
-0.27 0.32 0.92
-0.28 0.30 0.99
-0.15 0.42 0.77
-0.47 0.11 1.20
-0.28 0.32 0.98
-0.24 0.35 0.93
-0.27 0.27 1.00
-0.25 0.33 0.93
-0.25 0.29 0.91
-0.17 0.47 0.97
-0.55 -0.24 0.81
-0.18 0.31 0.98
-0.39 -0.34 0.81
-0.20 0.15 0.86
-0.07 0.39 0.92
-0.29 -0.00 1.01
-0.25 -0.03 0.98
-0.41 -0.49 1.06
-0.23 -0.16 1.05
-0.34 -0.12 1.06
-0.52 -0.78 0.95
-0.54 -0.52 1.38
-0.30 -0.22 1.19
-0.58 -0.32 1.12
-0.24 0.18 1.30
0.22 1.82 0.44
-0.20 0.84 0.75
-0.33 0.46 0.64
-0.32 1.06 0.70
-0.33 1.05 0.74
-0.16 1.05 0.94
-0.25 0.94 0.68
-0.46 0.53 0.98
0.05 -0.71 1.01
0.22 -0.09 0.82
-0.14 0.49 0.74
-0.14 0.36 1.00
-0.17 0.27 0.90
-0.17 0.32 0.99
-0.63 0.14 0.71
-0.20 0.32 0.92
-0.13 0.30 1.01
-0.14 0.34 0.88
-0.16 0.16 0.43
-0.17 0.41 1.00
-0.01 0.19 0.84
-0.22 0.12 0.30
-0.01 0.43 0.98
0.04 0.42 0.98
0.02 0.53 1.08
0.08 0.52 1.11
0.03 0.48 1.02
-0.02 0.56 0.84
0.08 0.52 0.97
0.07 0.49 0.90
0.10 0.56 1.10
0.00 0.36 0.92
-0.02 0.21 0.59
-0.06 0.12 0.66
-0.19 0.34 0.96
-0.13 0.28 0.90
-0.05 0.35 0.95
-0.17 0.50 1.06
-0.05 0.31 1.03
-0.06 0.43 0.94
-0.13 0.18 1.05
-0.10 0.26 0.90
-0.10 0.11 1.04
-0.04 0.13 1.06
-0.02 0.08 1.01
-0.02 0.05 1.00
0.03 0.06 0.95
0.03 0.02 1.04
0.06 -0.02 0.96
-0.00 -0.06 1.04
-0.03 -0.07 0.98
-0.07 -0.13 1.08
0.04 0.04 1.20
0.01 0.08 0.58
0.04 -0.00 1.26
0.01 -0.01 1.03
0.02 -0.02 1.03
0.03 0.01 1.02
-0.03 -0.03 1.01
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.00
0.02 0.00 1.00
0.02 0.00 1.02
0.02 0.00 1.03
0.02 0.00 1.03
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.03 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.03 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.03 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
