x y z
0.27 -0.57 0.89
0.15 -0.37 0.87
0.04 -0.31 1.07
0.53 0.02 0.09
0.00 -0.03 1.27
0.20 -0.10 0.95
0.50 -0.07 0.95
0.51 0.16 0.90
0.50 0.06 0.84
0.42 0.04 0.96
0.41 0.07 1.29
0.22 -0.04 0.96
0.15 -0.30 0.91
0.22 -0.36 1.00
0.27 -0.08 0.96
-0.16 -0.42 0.64
0.31 -0.26 1.19
0.02 -0.32 0.86
0.22 -0.16 0.93
0.13 -0.32 1.08
0.32 -0.05 1.02
0.05 -0.12 0.95
0.24 -0.33 0.95
0.20 -0.24 1.00
-0.04 0.06 0.98
0.42 -0.07 1.05
0.37 -0.29 0.91
0.25 -0.55 0.92
0.32 -0.33 0.98
0.13 -0.26 1.00
0.33 -0.24 0.98
0.24 -0.13 0.87
0.23 -0.35 0.93
0.25 -0.35 0.88
0.28 -0.39 0.95
0.32 -0.33 0.88
0.28 -0.32 0.86
0.35 -0.23 0.99
0.32 -0.30 0.96
0.35 -0.23 1.00
0.33 -0.34 0.88
0.27 -0.44 0.83
0.19 -0.38 0.90
0.20 -0.32 0.92
0.17 -0.35 0.82
0.32 -0.01 1.01
0.44 -0.12 0.97
0.16 -0.10 1.02
0.12 -0.36 0.95
-0.17 -1.02 2.26
0.19 -0.41 0.72
0.12 -0.26 0.86
0.24 -0.45 1.12
0.30 -0.15 0.97
0.29 -0.07 1.10
0.47 -0.19 1.01
0.53 -0.13 0.84
0.37 -0.24 0.92
0.34 -0.43 0.99
0.34 -0.18 0.95
0.44 -0.21 0.96
0.28 -0.26 1.00
0.32 -0.51 0.86
0.31 -0.19 1.14
0.14 -0.32 0.96
0.74 -0.20 1.27
0.15 -0.15 0.92
0.45 -0.06 0.63
0.55 0.03 1.11
0.37 -0.21 0.89
0.43 -0.15 0.90
0.41 -0.19 0.96
0.37 -0.15 0.96
0.44 -0.25 1.13
0.19 -0.35 1.09
0.37 -0.11 1.06
0.25 -0.27 0.83
0.13 -0.14 0.79
0.30 -0.13 0.95
0.14 0.25 1.05
0.00 0.18 0.97
0.13 0.30 0.79
0.17 0.30 0.93
0.41 0.03 0.78
-0.16 0.37 1.13
0.41 -0.44 0.45
0.31 0.19 1.27
0.05 0.07 1.07
0.39 0.36 0.85
0.56 -0.05 0.42
1.10 1.27 0.22
0.60 -0.06 0.85
0.47 0.03 1.01
0.45 0.04 1.00
